test_suite,test_name,scenario,duration,step_name,request_count,ok,failed,ok_rps,ok_min,ok_mean,ok_max,ok_50_percent,ok_75_percent,ok_95_percent,ok_99_percent,ok_std_dev,data_transfer_min_kb,data_transfer_mean_kb,data_transfer_max_kb,data_transfer_all_mb,fail_rps,fail_min,fail_mean,fail_max,fail_50_percent,fail_75_percent,fail_95_percent,fail_99_percent,fail_std_dev,fail_data_transfer_min_kb,fail_data_transfer_mean_kb,fail_data_transfer_max_kb,fail_data_transfer_all_mb
nbomber_default_test_suite_name,nbomber_default_test_name,sustained_load_single_client,00:00:45,global information,11250,11250,0,250,3.27,36.24,720.41,21.62,43.49,129.73,225.66,48.48,0.104,0.105,0.106,1.162,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,burst_against_low_limit_client,00:00:20,global information,3000,3000,0,150,4.03,68.92,1032.48,24.77,46.78,187.26,946.18,171.18,0.102,0.103,0.104,0.303,0,0,0,0,0,0,0,0,0,0,0,0,0
nbomber_default_test_suite_name,nbomber_default_test_name,multi_tenant_mixed_load,00:00:30,global information,5800,5800,0,193.33,3.74,55.54,843.43,34.69,59.55,191.62,313.09,65.85,0.102,0.104,0.106,0.592,0,0,0,0,0,0,0,0,0,0,0,0,0
